nombre,nif,tipo,n_concesiones,importe_total_eur,ultima_concesion,territorio,ultima_convocatoria,temas
"FUNDACION MENIÑOS","G15551120","Asociación/Fundación","1","247700","2026-05-13","GALICIA","ONVENIO ENTRE A CONSELLERÍA DE POLÍTICA SOCIAL E IGUALDADE E","igualdad"
"FUNDACIO PRIVADA DRISSA","G17588047","Asociación/Fundación","1","246737","2026-05-13","CATALUÑA","Subvenciones para el apoyo a la ocupación de personas trabaj","personas con discapacidad"
"PRODISCAPACITATS F.PRIV.TERRASSENCA","G60941861","Asociación/Fundación","1","222177","2026-05-13","CATALUÑA","Subvenciones para el apoyo a la ocupación de personas trabaj","personas con discapacidad"
"FUN.PRIV.EL MOLI D'EN PUIGVERT","G62873971","Asociación/Fundación","1","199590","2026-05-13","CATALUÑA","Subvenciones para el apoyo a la ocupación de personas trabaj","personas con discapacidad"
"CENTRE ESPECIAL DE TREBALL EL PLA","G25326901","Asociación/Fundación","1","192374","2026-05-13","CATALUÑA","Subvenciones para el apoyo a la ocupación de personas trabaj","personas con discapacidad"
"FUNDACIO CASSIA JUST","G60566460","Asociación/Fundación","1","190758","2026-05-13","CATALUÑA","Subvenciones para el apoyo a la ocupación de personas trabaj","personas con discapacidad"
"FUND.PRIV.V.OR.DISM.PSIQUICS","G60249737","Asociación/Fundación","1","169813","2026-05-13","CATALUÑA","Subvenciones para el apoyo a la ocupación de personas trabaj","personas con discapacidad"
"FUNDACIÓ RUBRICATUS","G61409678","Asociación/Fundación","1","167813","2026-05-13","CATALUÑA","Subvenciones para el apoyo a la ocupación de personas trabaj","personas con discapacidad"
"FUNDACIO PRIVADA ALTEM","G17603325","Asociación/Fundación","1","152125","2026-05-13","CATALUÑA","Subvenciones para el apoyo a la ocupación de personas trabaj","personas con discapacidad"
"ASSOCIACIO AREP PER LA SALUT MENTAL","G08631574","Asociación/Fundación","1","141614","2026-05-13","CATALUÑA","Subvenciones para el apoyo a la ocupación de personas trabaj","personas con discapacidad"
"ASSOC.COMARCAL URGELL AJU.MINU","G25014036","Asociación/Fundación","1","127751","2026-05-13","CATALUÑA","Subvenciones para el apoyo a la ocupación de personas trabaj","personas con discapacidad"
"FUNDACIÓ PRIVADA PRO DISMINUÏTS PSÍ","G63579452","Asociación/Fundación","1","125886","2026-05-13","CATALUÑA","Subvenciones para el apoyo a la ocupación de personas trabaj","personas con discapacidad"
"ASSOC.CAT.D'ESCL.MULT.J.M.CHARCOT","G60001591","Asociación/Fundación","1","108272","2026-05-13","CATALUÑA","Subvenciones para el apoyo a la ocupación de personas trabaj","personas con discapacidad"
"FUNDACIÓ SANT TOMÀS","G66918095","Asociación/Fundación","1","103969","2026-05-13","CATALUÑA","Subvenciones para el apoyo a la ocupación de personas trabaj","personas con discapacidad"
"FUNDACIÓ PRIVADA MARPI","G61738886","Asociación/Fundación","1","103916","2026-05-13","CATALUÑA","Subvenciones para el apoyo a la ocupación de personas trabaj","personas con discapacidad"
"ASSOCIACIO ALBA","G25014077","Asociación/Fundación","1","100252","2026-05-13","CATALUÑA","Subvenciones para el apoyo a la ocupación de personas trabaj","personas con discapacidad"
"FUND.SOCIOSANIT.SOCIAL SANTA TECLA","G43660372","Asociación/Fundación","1","91719","2026-05-13","CATALUÑA","Subvenciones para el apoyo a la ocupación de personas trabaj","personas con discapacidad"
"FUNDACIO INTEGRALIA VALLES FPC","G66332073","Asociación/Fundación","1","84430","2026-05-13","CATALUÑA","Subvenciones para el apoyo a la ocupación de personas trabaj","personas con discapacidad"
"IPRES","G64344492","Asociación/Fundación","1","80348","2026-05-13","CATALUÑA","Subvenciones para el apoyo a la ocupación de personas trabaj","personas con discapacidad"
"ASOCIACIÓN DE MULLERES CON DISCAPACIDADE DE G","G70223417","Asociación/Fundación","1","79500","2026-05-13","GALICIA","CONVENIO ENTRE A CONSELLERÍA DE POLÍTICA SOCIAL E IGUALDADE ","igualdad"
"ALAR GALICIA","G15775901","Asociación/Fundación","1","75000","2026-05-13","GALICIA","CONVENIO ENTRE A CONSELLERÍA DE POLÍTICA SOCIAL E IGUALDADE ","igualdad"
"FUNDACIÓ PRIVADA CANIGO","G60604204","Asociación/Fundación","1","69299","2026-05-13","CATALUÑA","Subvenciones para el apoyo a la ocupación de personas trabaj","personas con discapacidad"
"ASSOCIACIÓ TALMA SERVEI I SUPORT A LES PERSONES","G25015751","Asociación/Fundación","1","65155","2026-05-13","CATALUÑA","Subvenciones para el apoyo a la ocupación de personas trabaj","personas con discapacidad"
"FUNDACIO PRIVADA MERCE PLA","G43542968","Asociación/Fundación","1","62165","2026-05-13","CATALUÑA","Subvenciones para el apoyo a la ocupación de personas trabaj","personas con discapacidad"
"CEOBALL","G58629502","Asociación/Fundación","1","56549","2026-05-13","CATALUÑA","Subvenciones para el apoyo a la ocupación de personas trabaj","personas con discapacidad"
"FUNDACIO PRIVADA ELS JONCS","G17292194","Asociación/Fundación","1","53305","2026-05-13","CATALUÑA","Subvenciones para el apoyo a la ocupación de personas trabaj","personas con discapacidad"
"RED DE ECONOMIA ALTERNAT Y SOLID LA RIOJ","G26456970","Asociación/Fundación","1","50000","2026-05-13","LA RIOJA","Convenio REAS acciones de fomento de la economía social 2026","economía social"
"FUND.TALLERS DE LA CERDANYA","G17656968","Asociación/Fundación","1","44374","2026-05-13","CATALUÑA","Subvenciones para el apoyo a la ocupación de personas trabaj","personas con discapacidad"
"ASSOCIACIO MONTSENY-GUILLERIES","G17053588","Asociación/Fundación","1","36476","2026-05-13","CATALUÑA","Subvenciones para el apoyo a la ocupación de personas trabaj","personas con discapacidad"
"ASSOCIACIO ESCLAT","G08569303","Asociación/Fundación","1","33774","2026-05-13","CATALUÑA","Subvenciones para el apoyo a la ocupación de personas trabaj","personas con discapacidad"
"ASS.LES CORTS PER LA INSERCIO LABOR","G64303464","Asociación/Fundación","1","29368","2026-05-13","CATALUÑA","Subvenciones para el apoyo a la ocupación de personas trabaj","personas con discapacidad"
"FUNDACIÓ PRIVADA ARTESÀ PER LA INTE.SOCIO-LABORAL","G62299029","Asociación/Fundación","1","29363","2026-05-13","CATALUÑA","Subvenciones para el apoyo a la ocupación de personas trabaj","personas con discapacidad"
"FUNDACIO EDUCACIO SALUT MENTAL","G60176328","Asociación/Fundación","1","27541","2026-05-13","CATALUÑA","Subvenciones para el apoyo a la ocupación de personas trabaj","personas con discapacidad"
"ASSOC.PROT.DISCAPACITATS ST.ADRIA","G60282654","Asociación/Fundación","1","19119","2026-05-13","CATALUÑA","Subvenciones para el apoyo a la ocupación de personas trabaj","personas con discapacidad"
"ASSOC.REHAB.E.E.JERONI MORAGAS","G43036565","Asociación/Fundación","1","17423","2026-05-13","CATALUÑA","Subvenciones para el apoyo a la ocupación de personas trabaj","personas con discapacidad"
"ASSOC.CAT.INTEGR.DESENVOL.HUMA ACIDH","G60531100","Asociación/Fundación","1","15103","2026-05-13","CATALUÑA","Subvenciones para el apoyo a la ocupación de personas trabaj","personas con discapacidad"
"FUND.HUM.PEL 3R.I 4T.MON DR.TRUETA","G62292545","Asociación/Fundación","1","12481","2026-05-13","CATALUÑA","Subvenciones para el apoyo a la ocupación de personas trabaj","personas con discapacidad"
"GRUP HORITZO DEL BERGUEDA","G58138785","Asociación/Fundación","1","12424","2026-05-13","CATALUÑA","Subvenciones para el apoyo a la ocupación de personas trabaj","personas con discapacidad"
"INSTITUT ASPACE FUNDACIO PRIVADA","G63095376","Asociación/Fundación","1","9769","2026-05-13","CATALUÑA","Subvenciones para el apoyo a la ocupación de personas trabaj","personas con discapacidad"
"FUNDACIO PERE MITJANS","G58580143","Asociación/Fundación","1","8224","2026-05-13","CATALUÑA","Subvenciones para el apoyo a la ocupación de personas trabaj","personas con discapacidad"
"ASOCIACION INFANTO JUVENIL BUZTINTXUREANDO TXURI","G71243000","Asociación/Fundación","2","20000","2026-05-12","COMUNIDAD FORAL DE NAVARRA","AYUDAS PARA PROYECTOS DE EDUCACIÓN AMBIENTAL, VOLUNTARIADO A","voluntariado"
"ASOCIACION TURISTICA TIERRAS DE IRANZU-KO     LURRAK","G31894173","Asociación/Fundación","2","20000","2026-05-12","COMUNIDAD FORAL DE NAVARRA","AYUDAS PARA PROYECTOS DE EDUCACIÓN AMBIENTAL, VOLUNTARIADO A","voluntariado"
"SOCIEDAD DE CIENCIAS NATURALES GOROSTI","G31140064","Asociación/Fundación","2","19723","2026-05-12","COMUNIDAD FORAL DE NAVARRA","AYUDAS PARA PROYECTOS DE EDUCACIÓN AMBIENTAL, VOLUNTARIADO A","voluntariado"
"ESCUELA DE MONITORES DE TIEMPO LIBRE URTXINTX","G31200637","Asociación/Fundación","2","19061","2026-05-12","COMUNIDAD FORAL DE NAVARRA","AYUDAS PARA PROYECTOS DE EDUCACIÓN AMBIENTAL, VOLUNTARIADO A","voluntariado"
"FUNDACION ASTIZ IRUJO","G71308514","Asociación/Fundación","2","18231","2026-05-12","COMUNIDAD FORAL DE NAVARRA","AYUDAS PARA PROYECTOS DE EDUCACIÓN AMBIENTAL, VOLUNTARIADO A","voluntariado"
"ASOCIACION LANTXOTEGI ELKARTEA","G31279961","Asociación/Fundación","1","70000","2026-05-12","COMUNIDAD FORAL DE NAVARRA","Convenio de colaboración entre la DG de Políticas Migratoria","inclusión social"
"ASOCIACION POTEN100MOS","G70480900","Asociación/Fundación","1","19000","2026-05-12","CORUÑA, A","Convenio entre Asociación Poten100mos y el Ayuntamiento de A","inclusión social"
"ASOCIACION ECOLOGISTA SOCIO-CULTURAL BILUZIK","G71394894","Asociación/Fundación","1","10000","2026-05-12","COMUNIDAD FORAL DE NAVARRA","AYUDAS PARA PROYECTOS DE EDUCACIÓN AMBIENTAL, VOLUNTARIADO A","voluntariado"
"ASOCIACION HERMANAMIENTO DE AÑORBE","G71082069","Asociación/Fundación","1","10000","2026-05-12","COMUNIDAD FORAL DE NAVARRA","AYUDAS PARA PROYECTOS DE EDUCACIÓN AMBIENTAL, VOLUNTARIADO A","voluntariado"
"ASOCIACION VIA VERDE DEL FERROCARRIL VASCO NA VARRO","G31961576","Asociación/Fundación","1","10000","2026-05-12","COMUNIDAD FORAL DE NAVARRA","AYUDAS PARA PROYECTOS DE EDUCACIÓN AMBIENTAL, VOLUNTARIADO A","voluntariado"
"FUNDACION CAJA NAVARRA","G31001993","Asociación/Fundación","1","10000","2026-05-12","COMUNIDAD FORAL DE NAVARRA","AYUDAS PARA PROYECTOS DE EDUCACIÓN AMBIENTAL, VOLUNTARIADO A","voluntariado"
"ASOCIACION ALNUS","G31381981","Asociación/Fundación","1","10000","2026-05-12","COMUNIDAD FORAL DE NAVARRA","AYUDAS PARA PROYECTOS DE EDUCACIÓN AMBIENTAL, VOLUNTARIADO A","voluntariado"
"ASOCIACION BERDESIA","G71350201","Asociación/Fundación","1","10000","2026-05-12","COMUNIDAD FORAL DE NAVARRA","AYUDAS PARA PROYECTOS DE EDUCACIÓN AMBIENTAL, VOLUNTARIADO A","voluntariado"
"ASOCIACION DE TURISMO RURAL IRATI ORREAGA","G31412729","Asociación/Fundación","1","10000","2026-05-12","COMUNIDAD FORAL DE NAVARRA","AYUDAS PARA PROYECTOS DE EDUCACIÓN AMBIENTAL, VOLUNTARIADO A","voluntariado"
"ASOCIACION TEDER DE ESTELLA","G31590219","Asociación/Fundación","1","10000","2026-05-12","COMUNIDAD FORAL DE NAVARRA","AYUDAS PARA PROYECTOS DE EDUCACIÓN AMBIENTAL, VOLUNTARIADO A","voluntariado"
"ASOCIACION SAMARA","G71550057","Asociación/Fundación","1","10000","2026-05-12","COMUNIDAD FORAL DE NAVARRA","AYUDAS PARA PROYECTOS DE EDUCACIÓN AMBIENTAL, VOLUNTARIADO A","voluntariado"
"ASOCIACION CLUB DE JUBILADOS Y PENSIONISTAS   SAN SEBASTIAN","G31654999","Asociación/Fundación","1","10000","2026-05-12","COMUNIDAD FORAL DE NAVARRA","AYUDAS PARA PROYECTOS DE EDUCACIÓN AMBIENTAL, VOLUNTARIADO A","voluntariado"
"ASOCIACION LABEA","G71472633","Asociación/Fundación","1","10000","2026-05-12","COMUNIDAD FORAL DE NAVARRA","AYUDAS PARA PROYECTOS DE EDUCACIÓN AMBIENTAL, VOLUNTARIADO A","voluntariado"
"ASOCIACION NAVARRA DE MUNICIPIOS DEL CAMINO DE LA VERA CRUZ","G71430565","Asociación/Fundación","1","10000","2026-05-12","COMUNIDAD FORAL DE NAVARRA","AYUDAS PARA PROYECTOS DE EDUCACIÓN AMBIENTAL, VOLUNTARIADO A","voluntariado"
"ASOCIACION NAVARRA DE ASUNTOS RELACIONADOS CO N ECOLOGIA","G31428303","Asociación/Fundación","1","10000","2026-05-12","COMUNIDAD FORAL DE NAVARRA","AYUDAS PARA PROYECTOS DE EDUCACIÓN AMBIENTAL, VOLUNTARIADO A","voluntariado"
"ASOCIACION AGORA CULTURAL","G71542583","Asociación/Fundación","1","9959","2026-05-12","COMUNIDAD FORAL DE NAVARRA","AYUDAS PARA PROYECTOS DE EDUCACIÓN AMBIENTAL, VOLUNTARIADO A","voluntariado"
"AMA LURRAREN KOLOREAK KULTURALA ARTISTIKOA ETA KIROLAK","G71458939","Asociación/Fundación","1","9924","2026-05-12","COMUNIDAD FORAL DE NAVARRA","AYUDAS PARA PROYECTOS DE EDUCACIÓN AMBIENTAL, VOLUNTARIADO A","voluntariado"
"ASOCIACION PERMAKULTURA LORKA NAVARRA","G71433783","Asociación/Fundación","1","9902","2026-05-12","COMUNIDAD FORAL DE NAVARRA","AYUDAS PARA PROYECTOS DE EDUCACIÓN AMBIENTAL, VOLUNTARIADO A","voluntariado"
"ASOCIACION FORESTAL DE NAVARRA","G31406101","Asociación/Fundación","1","9884","2026-05-12","COMUNIDAD FORAL DE NAVARRA","AYUDAS PARA PROYECTOS DE EDUCACIÓN AMBIENTAL, VOLUNTARIADO A","voluntariado"
"ASOCIACION DE GUIAS MICOLOGICOS ""SASKIAK"" GIDA MIKOLOGIKOEN ELKARTEA","G71501100","Asociación/Fundación","1","9727","2026-05-12","COMUNIDAD FORAL DE NAVARRA","AYUDAS PARA PROYECTOS DE EDUCACIÓN AMBIENTAL, VOLUNTARIADO A","voluntariado"
"ASOCIACION DE EMPRESARIOS DE LA MADERA DE NAV RRA","G31071855","Asociación/Fundación","1","9642","2026-05-12","COMUNIDAD FORAL DE NAVARRA","AYUDAS PARA PROYECTOS DE EDUCACIÓN AMBIENTAL, VOLUNTARIADO A","voluntariado"
"ASOCIACION DE CAMPINGS DE NAVARRA","G31180466","Asociación/Fundación","1","9450","2026-05-12","COMUNIDAD FORAL DE NAVARRA","AYUDAS PARA PROYECTOS DE EDUCACIÓN AMBIENTAL, VOLUNTARIADO A","voluntariado"
"ASOCIACION ELUTSEDER","G71066591","Asociación/Fundación","1","9126","2026-05-12","COMUNIDAD FORAL DE NAVARRA","AYUDAS PARA PROYECTOS DE EDUCACIÓN AMBIENTAL, VOLUNTARIADO A","voluntariado"
"ASOCIACION MAS PLANETA","G71498208","Asociación/Fundación","1","8739","2026-05-12","COMUNIDAD FORAL DE NAVARRA","AYUDAS PARA PROYECTOS DE EDUCACIÓN AMBIENTAL, VOLUNTARIADO A","voluntariado"
"ASOCIACION RED DE SEMILLAS DE NAVARRA - NAFARROAKO HAZIEN SAREA","G71278063","Asociación/Fundación","1","8707","2026-05-12","COMUNIDAD FORAL DE NAVARRA","AYUDAS PARA PROYECTOS DE EDUCACIÓN AMBIENTAL, VOLUNTARIADO A","voluntariado"
"ASOCIACION DE EMPRESARIOS DE HOSTELERIA Y TURISMO DE NAVARRA","G31096555","Asociación/Fundación","1","8586","2026-05-12","COMUNIDAD FORAL DE NAVARRA","AYUDAS PARA PROYECTOS DE EDUCACIÓN AMBIENTAL, VOLUNTARIADO A","voluntariado"
"LURRETIK IKASIZ","G71552533","Asociación/Fundación","1","8051","2026-05-12","COMUNIDAD FORAL DE NAVARRA","AYUDAS PARA PROYECTOS DE EDUCACIÓN AMBIENTAL, VOLUNTARIADO A","voluntariado"
"ASOCIACION EGAPELUD@S","G71149926","Asociación/Fundación","1","7650","2026-05-12","COMUNIDAD FORAL DE NAVARRA","AYUDAS PARA PROYECTOS DE EDUCACIÓN AMBIENTAL, VOLUNTARIADO A","voluntariado"
"ASOCIACION BIZIRIK GAUDE","G31977267","Asociación/Fundación","1","6511","2026-05-12","COMUNIDAD FORAL DE NAVARRA","AYUDAS PARA PROYECTOS DE EDUCACIÓN AMBIENTAL, VOLUNTARIADO A","voluntariado"
"AMIGOS DE LA NATURALEZA MUERDAGO","G31735558","Asociación/Fundación","1","4923","2026-05-12","COMUNIDAD FORAL DE NAVARRA","AYUDAS PARA PROYECTOS DE EDUCACIÓN AMBIENTAL, VOLUNTARIADO A","voluntariado"
"ASOCIACION DE PADRES Y MADRES DEL ALUMNADO DE INSTITUTO DE EDUCACION SECUNDARIA ASKATASUNA ILARREA","G31558208","Asociación/Fundación","1","4867","2026-05-12","COMUNIDAD FORAL DE NAVARRA","AYUDAS PARA PROYECTOS DE EDUCACIÓN AMBIENTAL, VOLUNTARIADO A","voluntariado"
"ASOCIACION DE CONSUMIDORES DE NAVARRA IRACHE","G31097140","Asociación/Fundación","1","4230","2026-05-12","COMUNIDAD FORAL DE NAVARRA","AYUDAS PARA PROYECTOS DE EDUCACIÓN AMBIENTAL, VOLUNTARIADO A","voluntariado"
"ASOCIACION ETXAURINDARRA","G71507685","Asociación/Fundación","1","3500","2026-05-12","COMUNIDAD FORAL DE NAVARRA","AYUDAS PARA PROYECTOS DE EDUCACIÓN AMBIENTAL, VOLUNTARIADO A","voluntariado"
"EZPELZAINTZA 2050","G71435010","Asociación/Fundación","1","3489","2026-05-12","COMUNIDAD FORAL DE NAVARRA","AYUDAS PARA PROYECTOS DE EDUCACIÓN AMBIENTAL, VOLUNTARIADO A","voluntariado"
"ASOCIACION CULTURAL DE ALMADIEROS NAVARROS NA FARROAKO ALMADIAZAINEN KULTUR LEKARTEA","G31399603","Asociación/Fundación","1","3150","2026-05-12","COMUNIDAD FORAL DE NAVARRA","AYUDAS PARA PROYECTOS DE EDUCACIÓN AMBIENTAL, VOLUNTARIADO A","voluntariado"
"ASOCIACION LAUDATO SI' NAVARRA LAUDATO SI' NAFARROA","G71525216","Asociación/Fundación","1","3120","2026-05-12","COMUNIDAD FORAL DE NAVARRA","AYUDAS PARA PROYECTOS DE EDUCACIÓN AMBIENTAL, VOLUNTARIADO A","voluntariado"
"ASOCIACION OBANOS BIZI ELKARTEA","G71472476","Asociación/Fundación","1","2308","2026-05-12","COMUNIDAD FORAL DE NAVARRA","AYUDAS PARA PROYECTOS DE EDUCACIÓN AMBIENTAL, VOLUNTARIADO A","voluntariado"
"ASOCIACION RECREATIVA CULTURAL AMBERRIA","G31261092","Asociación/Fundación","1","1188","2026-05-12","COMUNIDAD FORAL DE NAVARRA","AYUDAS PARA PROYECTOS DE EDUCACIÓN AMBIENTAL, VOLUNTARIADO A","voluntariado"
"COMUNIDAD ENERGETICA ENERKIDE KOMUNITATE ENERGETIKOA","G71539183","Asociación/Fundación","1","835","2026-05-12","COMUNIDAD FORAL DE NAVARRA","AYUDAS PARA PROYECTOS DE EDUCACIÓN AMBIENTAL, VOLUNTARIADO A","voluntariado"
"ASOCIACION HOGAR COMPARTIDO DE MOLINA","G30503221","Asociación/Fundación","1","22000","2026-05-11","MOLINA DE SEGURA","CONVENIO ENTRE EL AYUNTAMIENTO Y LA ASOCIACIÓN HOGAR COMPART","personas mayores"
"ASOCIACION ESPAÑOLA CONTRA EL CANCER","G28197564","Asociación/Fundación","2","2673","2026-05-08","ZUMARRAGA","Bases específicas de concesión de subvenciones a asociacione","acción social · igualdad"
"ATZEGI, ASOC EN FAVOR DISCAP INTELECTUAL","G20044095","Asociación/Fundación","2","1079","2026-05-08","ZUMARRAGA","Bases específicas de concesión de subvenciones a asociacione","igualdad"
"ASOC DE ESCLEROSIS MULTIPLE DE IBIZA Y FORMENTERA","G07849730","Asociación/Fundación","1","14590","2026-05-08","SANT JOSEP DE SA TALAIA","EXTRACTO DE LA APROBACIÓN POR DECRETO DE ALCALDÍA NÚM. 2025-","acción social"
"ASOC PITIUSA DE AYUDA A AFECTADOS DE CAN","G57934887","Asociación/Fundación","1","14178","2026-05-08","SANT JOSEP DE SA TALAIA","EXTRACTO DE LA APROBACIÓN POR DECRETO DE ALCALDÍA NÚM. 2025-","acción social"
"ASOC PLATAFORMA SOCIO SANITARIA DE LAS P","G57158271","Asociación/Fundación","1","14178","2026-05-08","SANT JOSEP DE SA TALAIA","EXTRACTO DE LA APROBACIÓN POR DECRETO DE ALCALDÍA NÚM. 2025-","acción social"
"ASOC. PADR. NIÑ. CON CANC.BALEARES","G07608771","Asociación/Fundación","1","12612","2026-05-08","SANT JOSEP DE SA TALAIA","EXTRACTO DE LA APROBACIÓN POR DECRETO DE ALCALDÍA NÚM. 2025-","acción social"
"FUNDACION CANONICA HOMBRE LIBRE.","G07488059","Asociación/Fundación","1","11870","2026-05-08","SANT JOSEP DE SA TALAIA","EXTRACTO DE LA APROBACIÓN POR DECRETO DE ALCALDÍA NÚM. 2025-","acción social"
"ASOC ASPERGER IBIZA Y FORMENTERA","G57890097","Asociación/Fundación","1","11839","2026-05-08","SANT JOSEP DE SA TALAIA","EXTRACTO DE LA APROBACIÓN POR DECRETO DE ALCALDÍA NÚM. 2025-","acción social"
"ASOC DE FIBROMIALGIA Y SINDROME DE FATI","G57261638","Asociación/Fundación","1","11323","2026-05-08","SANT JOSEP DE SA TALAIA","EXTRACTO DE LA APROBACIÓN POR DECRETO DE ALCALDÍA NÚM. 2025-","acción social"
"ASOC PROYECTO JUNTOS","G57931867","Asociación/Fundación","1","11293","2026-05-08","SANT JOSEP DE SA TALAIA","EXTRACTO DE LA APROBACIÓN POR DECRETO DE ALCALDÍA NÚM. 2025-","acción social"
"ASOC DE ALTAS CAPAC. Y TALENTOS EIVISSA","G57491300","Asociación/Fundación","1","10923","2026-05-08","SANT JOSEP DE SA TALAIA","EXTRACTO DE LA APROBACIÓN POR DECRETO DE ALCALDÍA NÚM. 2025-","acción social"
"ASOC TDAHEF","G16940553","Asociación/Fundación","1","9323","2026-05-08","SANT JOSEP DE SA TALAIA","EXTRACTO DE LA APROBACIÓN POR DECRETO DE ALCALDÍA NÚM. 2025-","acción social"
"IBIZA IN","G42982975","Asociación/Fundación","1","8595","2026-05-08","SANT JOSEP DE SA TALAIA","EXTRACTO DE LA APROBACIÓN POR DECRETO DE ALCALDÍA NÚM. 2025-","acción social"
"EIVISSA INCLUSIVA","G16605230","Asociación/Fundación","1","8045","2026-05-08","SANT JOSEP DE SA TALAIA","EXTRACTO DE LA APROBACIÓN POR DECRETO DE ALCALDÍA NÚM. 2025-","acción social"
"ASOC PERS NEC ESP D EIVISSA I FORMENTERA","G07937097","Asociación/Fundación","1","5784","2026-05-08","SANT JOSEP DE SA TALAIA","EXTRACTO DE LA APROBACIÓN POR DECRETO DE ALCALDÍA NÚM. 2025-","acción social"
"ASOC PITIUSA DE FAMILIARES PRO SALUD ME","G07728751","Asociación/Fundación","1","5448","2026-05-08","SANT JOSEP DE SA TALAIA","EXTRACTO DE LA APROBACIÓN POR DECRETO DE ALCALDÍA NÚM. 2025-","acción social"
"CARITAS DIOCESANA ASOC DE SAN SEBASTIAN","G20057840","Asociación/Fundación","1","1498","2026-05-08","ZUMARRAGA","Bases específicas de concesión de subvenciones a asociacione","igualdad"
"ASOC MUJER AFEC CANCER DE MAMA KATXALIN","G20163523","Asociación/Fundación","1","1199","2026-05-08","ZUMARRAGA","Bases específicas de concesión de subvenciones a asociacione","igualdad"
"ASOC GUIP AFEC AUTISMO ""GAUTENA""","G20058830","Asociación/Fundación","1","1124","2026-05-08","ZUMARRAGA","Bases específicas de concesión de subvenciones a asociacione","igualdad"
"NAGUSILAN VOLUNTARIADO SOCIAL DE MAYORES","G20532925","Asociación/Fundación","1","1049","2026-05-08","ZUMARRAGA","Bases específicas de concesión de subvenciones a asociacione","igualdad"
"MAIRI KULTUR ELKARTEA","G20411088","Asociación/Fundación","1","1049","2026-05-08","ZUMARRAGA","Bases específicas de concesión de subvenciones a asociacione","igualdad"
"BANCO DE ALIMENTOS DE GIPUZKOA","G20605242","Asociación/Fundación","1","989","2026-05-08","ZUMARRAGA","Bases específicas de concesión de subvenciones a asociacione","igualdad"
"ASOC GUIP DE FIB Y AST CRON BIZI BIDE","G20818373","Asociación/Fundación","1","899","2026-05-08","ZUMARRAGA","Bases específicas de concesión de subvenciones a asociacione","igualdad"
"ASOC DE DONANTES DE SANGRE DE GUIPUZCOA","G20040838","Asociación/Fundación","1","850","2026-05-08","ZUMARRAGA","Bases específicas de concesión de subvenciones a asociacione","igualdad"
"ASOC ""TELEFONO DE LA ESPERANZA DE GUIPUZCOA"", DE D","G20432753","Asociación/Fundación","1","824","2026-05-08","ZUMARRAGA","Bases específicas de concesión de subvenciones a asociacione","igualdad"
"ESKU HUTSIK ASOC DE DUELO GESTACIONAL PERINATAL Y NEONATAL DE EUSKADI DE GETXO","G16797052","Asociación/Fundación","1","824","2026-05-08","ZUMARRAGA","Bases específicas de concesión de subvenciones a asociacione","igualdad"
"ASOC BIZKAIA ELKARTEA ESPINA BIFIDA E H","G48279335","Asociación/Fundación","1","524","2026-05-08","ZUMARRAGA","Bases específicas de concesión de subvenciones a asociacione","igualdad"
"BIHOTZEZ ASOC DE CARDIOPATIAS CONGENITAS","G95663639","Asociación/Fundación","1","524","2026-05-08","ZUMARRAGA","Bases específicas de concesión de subvenciones a asociacione","igualdad"
"ASOC CONTRA ANOROEXIA Y BULIMIA ""ACABE""","G20501409","Asociación/Fundación","1","524","2026-05-08","ZUMARRAGA","Bases específicas de concesión de subvenciones a asociacione","igualdad"
"ASOC GUIPUZCOANA DE DEFICIENTES VISUALES","G20065660","Asociación/Fundación","1","524","2026-05-08","ZUMARRAGA","Bases específicas de concesión de subvenciones a asociacione","igualdad"
"ASOC GUIPUZCOANA DE FAMILIARES Y ENFERMOS PSIQUICO","G20124749","Asociación/Fundación","1","450","2026-05-08","ZUMARRAGA","Bases específicas de concesión de subvenciones a asociacione","igualdad"
"PAUSOKA ELKARTEA","G75065144","Asociación/Fundación","1","450","2026-05-08","ZUMARRAGA","Bases específicas de concesión de subvenciones a asociacione","igualdad"
"ASOC GIPUZKOANA FIBROSIS QUISTICA","G20200028","Asociación/Fundación","1","450","2026-05-08","ZUMARRAGA","Bases específicas de concesión de subvenciones a asociacione","igualdad"
"ASOC PERSONAS INTELIGENCIA LIMITE","G75068874","Asociación/Fundación","1","375","2026-05-08","ZUMARRAGA","Bases específicas de concesión de subvenciones a asociacione","igualdad"
"ASOC PARA LA LUCHA CONTRA LAS ENFERMEDADES RENALES","G20072872","Asociación/Fundación","1","375","2026-05-08","ZUMARRAGA","Bases específicas de concesión de subvenciones a asociacione","igualdad"
"IZAN S CV","G20093415","Asociación/Fundación","1","375","2026-05-08","ZUMARRAGA","Bases específicas de concesión de subvenciones a asociacione","igualdad"
"ASOC DEFICIT ATENC CON HIPERAC GIPUZKOA","G20779732","Asociación/Fundación","1","375","2026-05-08","ZUMARRAGA","Bases específicas de concesión de subvenciones a asociacione","igualdad"
"ASOC DE ESCLEROSIS MULTIPLE DE GIPUZKOA ""ADEMGI""","G20515623","Asociación/Fundación","1","375","2026-05-08","ZUMARRAGA","Bases específicas de concesión de subvenciones a asociacione","igualdad"
"ASOC GIPUZKOANA DE ANTICOAGULADOS","G75093948","Asociación/Fundación","1","375","2026-05-08","ZUMARRAGA","Bases específicas de concesión de subvenciones a asociacione","igualdad"
